"Taxon","Database","Reference","Country","Population","Scarification","Stratification","GA3","Tmean","Alternating","Light","Germinated","Germinable"
"Carex binervis","Enscobase","RBGK","UK","K_135665",0,0,0,31,0,1,0,49
"Carex binervis","Enscobase","RBGK","UK","K_135665",0,1,0,25,1,1,38,46
"Carex binervis","Enscobase","RBGK","UK","K_135665",0,1,1,25,1,1,32,48
"Carex binervis","Enscobase","RBGK","UK","K_135665",1,0,0,26,1,1,1,20
"Carex binervis","Enscobase","RBGK","UK","K_135665",1,1,0,26,1,1,7,19
"Carex binervis","Enscobase","RBGK","UK","K_136422",0,0,0,21,0,1,0,20
"Carex binervis","Enscobase","RBGK","UK","K_136422",0,0,0,26,0,1,0,20
"Carex binervis","Enscobase","RBGK","UK","K_136422",0,0,0,26,1,1,0,20
"Carex binervis","Enscobase","RBGK","UK","K_136422",0,0,0,31,0,1,0,20
"Carex binervis","Enscobase","RBGK","UK","K_136422",0,1,0,18.33333333,1,1,10,19
"Carex binervis","Enscobase","RBGK","UK","K_136422",0,1,0,21,0,1,1,20
"Carex binervis","Enscobase","RBGK","UK","K_136422",0,1,0,27.5,1,1,14,20
"Carex caryophyllea","Enscobase","RBGK","UK","K_127071",0,1,0,26,1,1,7,8
"Carex leporina","Enscobase","BGBM","Germany","B_DE-2080697",0,0,0,22,0,1,0,20
"Carex leporina","Enscobase","RBGK","Luxembourg","K_174813",0,0,0,20,0,1,1,49
"Carex leporina","Enscobase","RBGK","Luxembourg","K_174813",0,0,0,25,0,1,0,50
"Carex leporina","Enscobase","RBGK","Luxembourg","K_174813",0,0,0,25,1,1,46,48
"Carex leporina","Enscobase","RBGK","Luxembourg","K_174813",0,0,0,30,0,1,0,50
"Carex leporina","Enscobase","RBGK","UK","K_69847",0,0,0,26,1,1,98,100
"Carum verticillatum","Enscobase","NBGB","Belgium","BR_1996127533",0,0,0,16,0,1,39,50
"Carum verticillatum","Enscobase","RBGK","Belgium","K_172598",0,0,0,10,0,1,14,16
"Carum verticillatum","Enscobase","RBGK","Belgium","K_172598",0,0,0,15,0,1,17,18
"Carum verticillatum","Enscobase","RBGK","Belgium","K_172598",0,0,0,20,0,1,16,18
"Carum verticillatum","Enscobase","RBGK","UK","K_123095",0,0,0,16,0,1,20,20
"Carum verticillatum","SOSPRADERAS","SOSPRADERAS","Portugal","SOS176",0,0,0,9,1,1,66,100
"Carum verticillatum","SOSPRADERAS","SOSPRADERAS","Portugal","SOS176",0,0,0,17,1,1,67,100
"Carum verticillatum","SOSPRADERAS","SOSPRADERAS","Portugal","SOS176",0,0,0,25,1,1,0,89
"Carum verticillatum","SOSPRADERAS","SOSPRADERAS","Portugal","SOS176",0,0,1,9,1,1,73,97
"Carum verticillatum","SOSPRADERAS","SOSPRADERAS","Portugal","SOS176",0,0,1,17,1,1,54,99
"Carum verticillatum","SOSPRADERAS","SOSPRADERAS","Portugal","SOS176",0,0,1,25,1,1,5,92
"Centaurea nigra","Enscobase","RBGK","UK","K_400596",0,0,0,15,0,1,5,17
"Centaurea nigra","Enscobase","RBGK","UK","K_400596",0,0,0,15,1,1,18,18
"Centaurea nigra","Enscobase","RBGK","UK","K_400596",0,0,0,20,0,1,12,19
"Centaurea nigra","Enscobase","RBGK","UK","K_481351",0,0,0,15,0,1,7,10
"Centaurea nigra","Enscobase","RBGK","UK","K_481351",0,0,0,15,1,1,7,10
"Centaurea nigra","Enscobase","RBGK","UK","K_481351",0,0,0,20,0,1,7,10
"Centaurea nigra","Enscobase","RBGK","UK","K_58012",0,0,0,20,0,1,20,20
"Centaurea nigra","Enscobase","RBGK","UK","K_58012",0,0,0,21,0,1,92,100
"Centaurea nigra","SOSPRADERAS","SOSPRADERAS","Spain","SOS186",0,0,0,9,1,1,62,92
"Centaurea nigra","SOSPRADERAS","SOSPRADERAS","Spain","SOS186",0,0,0,17,1,1,77,96
"Centaurea nigra","SOSPRADERAS","SOSPRADERAS","Spain","SOS186",0,0,0,25,1,1,51,82
"Centaurea nigra","SOSPRADERAS","SOSPRADERAS","Spain","SOS186",0,0,1,9,1,1,58,88
"Centaurea nigra","SOSPRADERAS","SOSPRADERAS","Spain","SOS186",0,0,1,17,1,1,81,91
"Centaurea nigra","SOSPRADERAS","SOSPRADERAS","Spain","SOS186",0,0,1,25,1,1,43,82
"Centaurea nigra","SOSPRADERAS","SOSPRADERAS","Spain","SOS225",0,0,0,17,1,1,68,81
"Centaurea nigra","SOSPRADERAS","SOSPRADERAS","Spain","SOS225",0,0,1,17,1,1,60,84
"Centaurea scabiosa","Enscobase","BGBM","Germany","B_DE-1706299",0,0,0,22,0,1,0,20
"Centaurea scabiosa","Enscobase","RBGK","UK","K_87432",0,0,0,20,0,1,16,20
